book_id	id	word	definition_cn	ecdict_translation	ecdict_phonetic
CET4_CORE	CET4_CORE_1163	a	art. 一(个)；每一(个)	第一个字母 A; 一个; 第一的 / art. [计] 累加器, 加法器, 地址, 振幅, 模拟, 区域, 面积, 汇编, 组件, 异步	ei
CET4_CORE	CET4_CORE_1166	able	adj. 有能力的；出色的	a. 能干的, 能够的	'eibl
CET4_CORE	CET4_CORE_1184	accommodation	n. 招待设备；预定铺位	n. 膳宿, 预订铺位, 适应性调节, 调和, 贷款 / [医] 调节(眼); 适应	ә.kɒmә'deiʃәn
CET4_CORE	CET4_CORE_9	accumulate	v. 积累，增加	v. 积聚, 堆积	ә'kju:mjuleit
CET4_CORE	CET4_CORE_16	addiction	n. 上瘾	n. 入迷, 瘾 / [医] 瘾, 癖嗜	ә'dikʃәn
CET4_CORE	CET4_CORE_18	address	v. 解决	n. 住址, 演说, 举止, 灵巧, 求爱 / vt. 发表(演说或讲话), 对付, 写地址 / [计] 地址, 寻址	ә'dres
CET4_CORE	CET4_CORE_30	advisory	n. 报告	a. 顾问的, 咨询的, 劝告的 / [法] 劝告的, 忠告的, 咨询的	әd'vaizәri
CET4_CORE	CET4_CORE_31	advocate	n & v. 倡导	n. 提倡者, 拥护者 / vt. 主张, 提倡	'ædvәkeit
CET4_CORE	CET4_CORE_32	advocator	n. 主张者，倡导者	n. 拥护者, 提倡者	'ædvәkeitә
CET4_CORE	CET4_CORE_1222	affection	n. 慈爱，爱；爱慕	n. 影响, 病, 喜爱, 情感, 倾向 / [医] 疾患, 病变, 病; 感情	ә'fekʃәn
CET4_CORE	CET4_CORE_36	afford	v. 负担得起	vt. 买得起, 足以, 给予	ә'fɒ:d
CET4_CORE	CET4_CORE_1226	after	prep. 在…以后；次于	prep. 在...之后, 由于 / conj. 在...之后 / adv. 后来	'ɑ:ftә
CET4_CORE	CET4_CORE_1229	again	adv. 又一次；而且	adv. 再一次, 又, 到原处	ә'gein
CET4_CORE	CET4_CORE_4351	agenda	n. 议事日程	pl. 议程, 日常工作事项 / [计] 待议事件	ә'dʒendә
CET4_CORE	CET4_CORE_1233	agony	n. 极度痛苦	n. 极大的痛苦, 挣扎 / [医] 濒死苦闷; 剧痛	'ægәni
CET4_CORE	CET4_CORE_41	alert	v. 提醒；； adj. 机警的	a. 警觉的, 灵敏的, 留心的 / n. 警报 / vt. 使警觉, 通知, 使意识到	ә'lә:t
CET4_CORE	CET4_CORE_1257	also	adv. 亦，也；而且，还	adv. 也, 并且, 同样地	'ɒ:lsәu
CET4_CORE	CET4_CORE_914	alternative	n. 代替品	n. 两者择一, 供替代的选择 / a. 两者择一的, 供选择的 / [计] 选择对象	ɒ:l'tә:nәtiv
CET4_CORE	CET4_CORE_44	ambitious	adj. 有雄心的，野心勃勃的	a. 有野心的, 抱负不凡的, 雄心勃勃的	æm'biʃәs
CET4_CORE	CET4_CORE_4506	amid	prep. 在…中间， 在…之中， 被…围绕	prep. 在其间, 在其中 / [经] 在...中	ә'mid
CET4_CORE	CET4_CORE_1276	and	conj. 和，又，并，则	conj. 和, 与 / [计] 与	ænd
CET4_CORE	CET4_CORE_982	annoy	v. 使反感，厌烦	vt. 使恼怒, 骚扰	ә'nɒi
CET4_CORE	CET4_CORE_1284	another	adj. 再一个的；别的	a. 另外的, 再一的, 不同的 / pron. 又一个, 另一个, 类似的另一个	ә'nʌðә
CET4_CORE	CET4_CORE_50	anticipate	v. 预感	vt. 预期, 占先, 加速, 提前使用 / [医] 提前出现, 先期发生	æn'tisipeit
CET4_CORE	CET4_CORE_1295	anywhere	adv. 在什么地方	adv. 无论何处	'enihwєә
CET4_CORE	CET4_CORE_1296	apart	adv. 相隔；分开；除去	adv. 成零碎, 成距离, 分别地, 分离着 / a. 分离的	ә'pɑ:t
CET4_CORE	CET4_CORE_856	appealing	adj. 吸引人的	a. 有感染力的, 动人的, 恳求的	ә'pi:liŋ
CET4_CORE	CET4_CORE_1304	applicable	adj. 能应用的；适当的	a. 合适的, 可应用的 / [法] 适用的, 适应的	'æplikәbl
CET4_CORE	CET4_CORE_64	approve	v. 赞成，同意	vt. 赞同, 核准, 为...提供证据 / vi. 赞许	ә'pru:v
CET4_CORE	CET4_CORE_1309	arbitrary	adj. 随心所欲的；专断的	a. 任意的, 武断的, 专治的, 霸道的	'ɑ:bitrәri
CET4_CORE	CET4_CORE_69	arrange	v. 把…（系统地）分类	v. 安排, 排列, 达成协议 / [计] 重排	ә'reindʒ
CET4_CORE	CET4_CORE_1329	as	conj. 当…的时候	adv. 同样地, 例如 / prep. 做为, 当作 / conj. 当...之时, 以...的方式, 像...一样, 因为 / [计] 高级系统, 先进系统, 辅助存储器, 自治系统	æz
CET4_CORE	CET4_CORE_1330	ash	n. 灰，灰末；骨灰	n. 灰, 灰烬 / [化] 灰分	æʃ
CET4_CORE	CET4_CORE_71	ashamed	adj. 害羞的	a. 惭愧的, 羞耻的	ә'ʃeimd
CET4_CORE	CET4_CORE_1333	aside	adv. 在旁边，到旁边	n. 小声说的话, 旁白 / adv. 在一边, 离开, 另外	ә'said
CET4_CORE	CET4_CORE_890	assess	v. 评价	vt. 估定, 对...征税, 评定 / [经] 估计, 估价, 确定(税款罚款等)的金额	ә'ses
